-------------------------当前TTI1----------------------------------
Id 距离     平均吞吐量     总比特数
Id 距离     平均吞吐量     总比特数
1   41.1096    66.9655      2.677
2   69.6419    61.7185      2.581
3   37.108    67.0491      2.841
5   69.2315    64.0976      2.708
7   72.2496    69.2737      2.766
8   52.469    62.4823      2.616
10   51.1957    47.6005      1.985
11   33.6155    51.9754      2.134
13   66.7533    50.1622      2.064
14   33.2415    45.7205      1.895
-------------------------当前TTI42----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    67.569      2.75
2   69.6419    62.4466      2.65
3   37.108    65.9442      2.897
5   69.2315    63.6878      2.768
7   72.2496    68.9463      2.832
8   52.469    63.4341      2.688
10   51.1957    46.5405      2.022
11   33.6155    52.6779      2.193
13   66.7533    51.046      2.123
14   33.2415    45.4485      1.938
-------------------------当前TTI43----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    67.5121      2.817
2   69.6419    62.1019      2.709
3   37.108    66.6498      2.97
5   69.2315    63.419      2.829
7   72.2496    68.8517      2.9
8   52.469    64.0907      2.758
10   51.1957    48.3865      2.087
11   33.6155    52.1101      2.24
13   66.7533    50.0414      2.164
14   33.2415    45.4037      1.983
-------------------------当前TTI44----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.8609      2.878
2   69.6419    62.0917      2.771
3   37.108    67.4848      3.045
5   69.2315    62.5771      2.884
7   72.2496    69.2665      2.973
8   52.469    64.7816      2.829
10   51.1957    48.2479      2.134
11   33.6155    50.3991      2.275
13   66.7533    51.4373      2.228
14   33.2415    46.0633      2.035
-------------------------当前TTI45----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    67.2748      2.949
2   69.6419    61.4825      2.827
3   37.108    67.9363      3.117
5   69.2315    62.7194      2.948
7   72.2496    68.6398      3.036
8   52.469    65.5034      2.901
10   51.1957    47.1231      2.171
11   33.6155    50.9592      2.331
13   66.7533    51.5936      2.281
14   33.2415    46.757      2.088
-------------------------当前TTI46----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.1473      3.035
2   69.6419    62.8343      2.902
3   37.108    64.9427      3.155
5   69.2315    63.2475      3.016
7   72.2496    68.4758      3.103
8   52.469    65.3531      2.965
10   51.1957    48.8108      2.235
11   33.6155    49.2633      2.365
13   66.7533    52.7342      2.344
14   33.2415    45.8813      2.126
-------------------------当前TTI47----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    70.5326      3.118
2   69.6419    62.8509      2.965
3   37.108    63.7484      3.208
5   69.2315    63.1228      3.078
7   72.2496    67.0282      3.157
8   52.469    67.1178      3.048
10   51.1957    49.6297      2.292
11   33.6155    50.137      2.423
13   66.7533    52.8608      2.398
14   33.2415    44.1932      2.155
-------------------------当前TTI48----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.1793      3.165
2   69.6419    62.0658      3.02
3   37.108    66.9736      3.304
5   69.2315    63.9105      3.149
7   72.2496    68.3254      3.237
8   52.469    65.106      3.095
10   51.1957    48.9667      2.335
11   33.6155    52.0233      2.492
13   66.7533    54.2747      2.465
14   33.2415    41.7739      2.175
-------------------------当前TTI49----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.6614      3.238
2   69.6419    63.2592      3.094
3   37.108    65.3762      3.355
5   69.2315    64.5195      3.219
7   72.2496    67.9929      3.302
8   52.469    64.8954      3.158
10   51.1957    49.77      2.392
11   33.6155    51.721      2.541
13   66.7533    53.9472      2.516
14   33.2415    41.6965      2.216
-------------------------当前TTI50----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    70.3953      3.324
2   69.6419    63.8333      3.163
3   37.108    63.1386      3.398
5   69.2315    64.9676      3.288
7   72.2496    68.9936      3.38
8   52.469    63.6059      3.21
10   51.1957    50.993      2.454
11   33.6155    51.5489      2.591
13   66.7533    52.7525      2.558
14   33.2415    41.9269      2.26
-------------------------当前TTI51----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.4558      3.375
2   69.6419    62.65      3.215
3   37.108    66.4247      3.494
5   69.2315    63.9708      3.343
7   72.2496    68.8942      3.448
8   52.469    64.7453      3.285
10   51.1957    50.2937      2.498
11   33.6155    50.594      2.633
13   66.7533    51.8772      2.602
14   33.2415    44.5342      2.328
-------------------------当前TTI52----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    67.5102      3.434
2   69.6419    62.285      3.274
3   37.108    67.7822      3.574
5   69.2315    65.5737      3.423
7   72.2496    68.0048      3.508
8   52.469    64.1708      3.344
10   51.1957    49.1643      2.537
11   33.6155    49.3346      2.671
13   66.7533    51.9895      2.655
14   33.2415    46.8808      2.396
-------------------------当前TTI53----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.0592      3.487
2   69.6419    62.3565      3.337
3   37.108    69.204      3.656
5   69.2315    64.1163      3.474
7   72.2496    69.3043      3.589
8   52.469    64.3537      3.41
10   51.1957    50.7479      2.602
11   33.6155    48.9011      2.716
13   66.7533    50.9906      2.697
