-------------------------当前TTI0----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
-------------------------当前BBU6----------------------------------
-------------------------当前BBU7----------------------------------
-------------------------当前BBU8----------------------------------
-------------------------当前TTI4----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
1   28.7767    5      0.05      50      0
2   48.7494    5.994      0.074      38      570
3   25.9756    4.59      0.051      42      823
4   60.3991    4.4469      0.061      30      607
5   48.462    4.4      0.044      44      0
6   64.1752    4.5927      0.063      65      1273
7   50.5747    5.04      0.056      38      678
8   36.7283    5.508      0.068      54      882
9   66.3931    5.5      0.055      55      0
10   35.837    0      0      39      3900
11   23.5308    4.1      0.041      41      0
12   58.7541    4.4469      0.061      21      425
13   46.7273    4.26465      0.065      68      1435
14   23.2691    5.1      0.051      51      0
15   45.192    5.022      0.062      53      949
16   51.9747    4.698      0.058      38      727
17   17.5559    4.4469      0.061      55      1113
18   1.56525    4.77      0.053      45      849
19   34.3286    5.8      0.058      58      0
20   66.0824    4.374      0.06      60      1234
21   47.4195    4.33026      0.066      75      1558
22   20.3843    4.68      0.052      53      1019
23   72.3747    4.59      0.051      36      705
24   58.3483    4.95      0.055      55      1000
25   51.1767    5.1      0.051      51      0
26   8.16333    5.184      0.064      30      520
27   65.8149    5      0.05      50      0
28   10.0225    5.6      0.056      56      0
29   51.3869    4.46148      0.068      34      685
30   55.5828    5.589      0.069      43      692
31   52.8766    4.455      0.0235714      43      868
32   51.1    4.39587      0.067      73      1494
33   41.766    4.8114      0.066      66      1234
34   39.2562    4.59      0.00728571      52      1019
35   46.9366    4.52709      0.069      47      934
36   32.9    3.9366      0.06      55      1257
37   47.9334    4.77      0.053      38      716
38   25.9    4.59      0      58      1137
39   48.6236    0      0      33      3300
40   50.8838    6.1      0.061      61      0
41   37.8583    0      0      24      2400
42   19.8114    0      0      0      0
43   32.7283    3.87099      0.00842857      42      976
44   46.3324    4.455      0      57      1151
45   55.7545    5.3      0.053      53      0
46   54.4472    4.7385      0.065      32      607
47   51.1767    5.1      0.051      51      0
48   50.5214    4.85514      0.074      55      1019
49   35.2024    0      0      29      2900
50   35.4244    4.7385      0.065      45      854
51   31.258    4.1      0      41      0
52   33.6073    5.94      0.066      41      621
53   53.4068    6.66      0.074      40      540
54   65.6696    4.52709      0.069      57      1133
55   45.2408    4.617      0.057      47      916
56   47.404    4.33026      0.066      43      893
57   50.0879    0      0      36      3600
58   18.3742    5.508      0.068      48      784
59   61.9213    4.6656      0.064      42      810
60   39.8016    5.2488      0.072      60      1028
61   64.5368    0      0      34      3400
62   44.9365    4.06782      0.062      74      1637
63   39.3559    4.06782      0.062      48      1061
64   14    4.95      0.055      31      563
65   13.0208    4.00221      0.061      41      921
66   34.5774    4.3011      0.0252857      29      606
67   68.0298    5.94      0.066      52      787
68   28    4.455      0      49      989
69   68.8175    6.2      0.062      62      0
70   63.0971    4.8114      0.066      54      1010
71   38.6588    4.6656      0.064      50      964
72   65.2616    5.4      0.054      54      0
73   31.5078    4.95      0.055      61      1109
74   44.4541    5.184      0.064      36      625
75   47.5846    4.3      0.043      43      0
76   28.3219    5.13      0.057      51      894
77   57.1433    4.941      0.061      53      965
78   47.7696    5.022      0.062      46      824
79   24.6197    4.3011      0      50      1046
80   33.7165    4.536      0.056      52      1031
81   42.1456    5.94      0.066      58      878
-------------------------当前BBU0----------------------------------
-------------------------当前BBU1----------------------------------
-------------------------当前BBU2----------------------------------
-------------------------当前BBU3----------------------------------
82   16.8582    9.7353      0.119      61      563
83   67.6252    8.82855      0.113      41      417
84   51.8756    8.3824      0.099      43      0
85   44.1222    8.4159      0.109      50      534
86   31.305    5.184      0.064      38      659
87   18.2538    8.3979      0.077      57      610
88   25.672    8.66782      0.108      46      0
89   20.4083    5.103      0.063      45      793
90   44.4707    8.8656      0.106      42      0
91   56.7389    8.955      0.100667      43      432
92   37.6962    3.87099      0.059      25      581
93   53.5397    8.04294      0.104      46      514
94   46.4591    9.621      0.112      51      477
95   11.9    7.236      0.084      49      609
96   54.0951    7.758      0.09      51      591
97   15.3522    5.0301      0.069      44      787
98   53.3655    10.3198      0.12      58      0
99   34.7541    8.86782      0.11      48      0
100   62.1109    9.89343      0.127      44      400
101   46.2689    8.1648      0.0597143      52      573
102   25.6338    9.2583      0.12      36      349
103   50.5941    8.678      0.094      56      0
104   59.43    9.04221      0.117      51      507
105   50.7102    10.936      0.12      64      0
106   48.061    8.245      0.046      46      0
107   20.6708    7.8179      0.092      41      0
108   65.0398    9.27416      0.112      56      0
109   40.8886    9.891      0.115      50      454
110   42.9802    10.7864      0.134      58      0
111   46.7273    9.3366      0.12      35      337
112   37.4156    8.00855      0.099      44      0
113   42.1456    9.18216      0.124      44      431
114   42.7229    8.04      0.088      48      0
